NIS,Nama,matematika,fisika,kimia,informatika,ekonomi,sosiologi,geografi,sejarah,b_indonesia,b_inggris,seni_budaya,prakarya
00001,Rifqi Ardana,88,85,80,92,60,55,58,62,70,72,65,68
00002,Nadia Putri,60,55,58,62,88,85,82,90,70,74,68,72
00003,Ryan Saputra,75,78,72,80,65,60,63,67,85,88,90,87
00004,Dinda Maharani,55,50,52,60,90,88,85,92,72,75,70,68
00005,Fajar Nugroho,92,90,88,95,58,55,52,60,65,68,60,63
00006,Siti Rahmawati,62,60,58,65,85,90,88,87,80,82,78,75
00007,Bimo Wicaksono,85,88,82,90,62,58,60,65,70,72,68,65
00008,Aulia Fitri,58,55,52,60,72,68,70,75,92,90,88,85
00009,Kevin Alfarizi,90,85,88,92,60,62,58,55,68,70,65,62
00010,Mega Lestari,65,60,62,68,80,85,88,90,75,78,82,80
